2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/49/subinterface/0/ipv6/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +interface/ethernet-1/49/subinterface/0/ipv4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/49/subinterface/0/ipv6/router-advertisement/router-role/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/49/subinterface/0/ipv6/router-advertisement/router-role/max-advertisement-interval 10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/49/subinterface/0/ipv6/router-advertisement/router-role/min-advertisement-interval 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/50/subinterface/0/ipv6/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +interface/ethernet-1/50/subinterface/0/ipv4/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/50/subinterface/0/ipv6/router-advertisement/router-role/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/50/subinterface/0/ipv6/router-advertisement/router-role/max-advertisement-interval 10
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -interface/ethernet-1/50/subinterface/0/ipv6/router-advertisement/router-role/min-advertisement-interval 4
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/49.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/49.0/allowed-peer-as [101]
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/50.0/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/dynamic-neighbors/interface/ethernet-1/50.0/allowed-peer-as [101]
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/multipath/allow-multiple-as true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/multipath/ebgp/maximum-paths 2
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/multipath/ibgp/maximum-paths 2
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/afi-safi/ipv6-unicast/evpn/rapid-update true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv4-unicast/ipv4-unicast/advertise-ipv6-next-hops true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv4-unicast/ipv4-unicast/receive-ipv6-next-hops true
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , -network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv6-unicast/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/group/bgpgroup-ebgp-myfabric/afi-safi/ipv6-unicast/admin-state disable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.1/admin-state enable
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.1/description "Connected to ethernet-1/3 on peer spine1 via intf ethernet-1/49"
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.1/peer-as 101
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.1/peer-group bgpgroup-ebgp-myfabric
2025-11-12T13:13:04Z , 25 , admin , 10.244.0.25 , leaf3 , eda-telemetry , +network-instance/default/protocols/bgp/neighbor/12.0.0.1/afi-safi/evpn/admin-state enable
